start	end	volume	startpage	author	date	letter
0	90	1	3	Both	1610-2-25	I
92	190	1	3	Both	1610-8-6	II
192	289	1	3	Both	1610-10-14	III
291	7995	1	4	Both	1611-7-18	IV
7997	8966	1	7	Both	1612-3-31	V
8968	28268	1	8	Both	1612-7-26	VI
28270	28355	1	16	Both	1612-7-26	VII
28357	28443	1	16	Both	1612-7-26	VIII
28445	28990	1	17	Both	1612-7-26	IX
28992	29032	1	18	Both	None-None-None	X
29034	30151	1	19	Both	1612-7-26	XI
30153	30238	1	20	Both	1612-7-26	XII
30240	30326	1	20	Both	1612-7-26	XIII
30328	30368	1	20	Both	None-None-None	XIV
30370	42938	1	21	Both	1614-1-1	XV
42940	42981	1	27	Both	1614-1-1	XVI
42983	43025	1	27	Both	1614-1-1	XVII
43027	43909	1	28	Both	1614-11-10	XVIII
43911	49972	1	29	Both	1614-11-10	XIX
49974	58527	1	33	Both	1614-11-10	XX
58529	60226	1	37	Both	1614-11-10	XXI
60228	62638	1	39	Both	1614-11-10	XXII
62640	68120	1	43	Reynst	1614-11-11	I
68122	91287	1	46	Reynst	1615-10-26	II
91289	104424	1	46	Reynst	1615-10-26	II
104426	116520	1	63	Reael	1616-7-18	I
116522	121222	1	68	Reael	1616-9-22	II
121224	132871	1	70	Reael	1617-5-10	III
132873	136192	1	74	Reael	1617-7-2	IV
136194	136949	1	76	Reael	1617-11-10	V
136951	142781	1	77	Reael	1617-12-17	VI
142783	144463	1	80	Reael	1617-12-17	VII
144465	145162	1	81	Reael	1618-1-6	VIII
145164	150227	1	82	Reael	1618-5-7	IX
150229	155553	1	85	Reael	1618-7-11	X
155555	178940	1	87	Reael	1618-8-20	XI
178942	178998	1	97	Coen	1619-8-5	I
179000	179056	1	97	Coen	1619-10-7	II
179058	179116	1	97	Coen	1619-10-15	III
179118	179247	1	97	Coen, De Carpentier, Dedel, De Houtman, Jansz	1620-1-22	IV
179249	179320	1	97	Coen, Dedel	1620-1-29	V
179322	179427	1	97	Coen, De Carpentier, Jansz, Dedel	1620-5-11	VI
179429	179521	1	97	Coen, De Carpentier, Dedel	1620-5-12	VII
179523	179636	1	98	Coen, De Carpentier, Dedel, Sonck	1620-7-31	VIII
179638	179762	1	98	Coen, De Houtman, De Carpentier, Sonck	1620-10-26	IX
179764	179898	1	98	Coen, De Houtman, De Carpentier, Dedel, Sonck	1621-1-8	X
179900	196720	1	99	De Carpentier, Dedel	1621-3-8	XI
196722	196859	1	105	Coen, Sonck	1621-5-6	XII
196861	230176	1	106	De Carpentier, Dedel, Reyersz, Van Uffelen	1621-7-9	XIII
230178	230290	1	118	Coen, De Carpentier, Lam, Van Antzen	1621-11-16	XIV
230292	230385	1	118	Coen, De Carpentier, Van Antzen	1621-12-20	XV
230387	230480	1	118	Coen, De Carpentier, Van Antzen	1622-1-21	XVI
230482	230574	1	118	Coen, De Carpentier, Van Antzen	1622-3-14	XVII
230576	230685	1	118	Coen, De Carpentier, Van Antzen, Specx	1622-9-6	XIX
230687	230780	1	118	Coen, De Carpentier, Van Antzen	1622-3-26	XVIII
230782	243055	1	121	De Carpentier, Jansz, Specx	1623-2-1	I
243057	250831	1	126	De Carpentier, Raden	1623-2-24	II
250833	253351	1	129	De Carpentier, De Houtman, Dedel, Sonck, Specx	1623-12-25	III
253353	296675	1	131	De Carpentier, De Houtman, Dedel, Sonck, Specx, Van Gorcom	1624-1-3	IV
296677	307962	1	148	De Carpentier, Dedel, Sonck, Specx, Van Gorcom	1624-3-4	V
307964	360502	1	152	De Carpentier, Specx, Vlack, Van Diemen	1625-1-27	VI
360504	361699	1	172	De Carpentier, Raden	1625-8-13	VII
361701	363107	1	173	De Carpentier, Raden	1625-9-13	VIIa
363109	390095	1	174	De Carpentier, Specx, Vlack, Van Diemen	1625-10-27	VIII
390097	439730	1	184	De Carpentier, Specx, Vlack, Van Diemen	1626-2-3	IX
439732	439792	1	203	De Carpentier, Raden	1626-2-15	X
439794	528163	1	204	De Carpentier, Specx, Vlack, Van Diemen	1626-12-13	XI
528165	529433	1	234	De Carpentier, Specx, Vlack, Van Diemen, Schram	1626-12-15	XII
529435	540506	1	235	De Carpentier, Schram, Specx, Vlack, Van Diemen	1626-12-26	XIII
540508	540568	1	239	De Carpentier, Raden	1627-2-2	XIV
540570	547637	1	240	De Carpentier	1627-7-29	XV
547639	547786	1	244	Coen, De Carpentier, Specx, Van Duynen, Van Diemen, De Meester	1627-11-9	I
547788	547898	1	244	Coen, Van Duynen, Van Diemen, De Meester	1628-1-6	II
547900	548012	1	244	Coen, Van Duynen, Van Diemen, De Meester	1628-1-13	III
548014	548125	1	244	Coen, Van Duynen, Van Diemen, De Meester	1628-1-24	IV
548127	548289	1	244	Coen, Jansz, Lefebvre, Van Gorcom, Vlack, Van Diemen, Blocq Martensz	1628-11-3	V
548291	548381	1	244	Coen, Vlack, Van Diemen	1628-11-17	VI
548383	548474	1	244	Coen, Vlack, Van Diemen	1629-2-10	VII
548476	548565	1	244	Coen, Vlack, Van Diemen	1629-3-18	VIII
