body..	568
cell..	20793
fw.facs=#zone.nnnnn	222
fw.facs=#zone.nnnnnn	2335
fw.facs=#zone.nnnnnnn	12791
fw.place=top	15348
fw.type=bottom-page-number	4728
fw.type=head	10836
fw.type=page-number	4512
header..	568
lb..	534080
meta.key=author	490
meta.key=day	486
meta.key=month	485
meta.key=page	568
meta.key=pid	568
meta.key=place	28
meta.key=rawdate	490
meta.key=seq	568
meta.key=title	568
meta.key=year	486
meta.value=x	4737
note..	1
note.place=inline	25038
note.resp=editor	25038
note.type=editorial-summary	25038
p..	5
p.resp=int_paragraph_joining	13094
pb.facs=n_nnn_nnnn	6310
pb.facs=nnn_nnn	3515
pb.facs=nnn_nnnn	1162
pb.n=n	116
pb.n=nn	1164
pb.n=nnn	9535
pb.n=nnnn	172
pb.tpl=n	10987
pb.vol=nn	10987
row..	4582
table..	326
teiTrim..	568
