04:p0485-0485    8x OK bent
04:p0311-0311  105x OK blom
04:p0242-0242  396x OK bort
04:p0238-0238  415x OK camphuys
04:p0495-0495    1x OK generaal
04:p0495-0495    1x OK gouverneur
04:p0038-0038  488x OK groens
04:p0217-0217  127x OK hoorn
04:p0311-0311  514x OK hurdt
04:p0001-0002  212x OK maetsuycker
04:p0238-0238    1x OK nobel
04:p0238-0238  582x OK oudtshoorn
04:p0001-0002  233x OK overtwater
04:p0217-0217   21x OK paviljoen
04:p0001-0002  468x OK pit
04:p0753-0753   36x OK quaelbergh
04:p0495-0495    1x OK raden
04:p0156-0156   58x OK ranst
04:p0598-0598   58x OK schaghen
04:p0001-0002  508x OK speelman
04:p0001-0002   81x OK verburch
