01:p0003a => I. PIETER BOTH, AAN BOORD VAN HET WAPEN VAN AMSTERDAM,  VOOR ILE DE MA ... 
01:p0003b => II. PIETER BOTH, AAN BOORD VAN HET WAPEN VAN AMSTERDAM,  LIGGENDE IN D ... 
01:p0003c => III. PIETER BOTH, AAN BOORD VAN HET WAPEN VAN AMSTERDAM,  TER REDE VAN ... 
01:p0004 => IV. PIETER BOTH, KASTEEL NASSAU OP BANDA 18 juli 1611.  
01:p0007 => V. PIETER BOTH, AAN BOORD VAN DE VERE, VOOR MALEYO1)  31 maart 1612.  
01:p0008 => VI. PIETER BOTH, EORT MAURITIUS NABIJ NGOFAKIAHA OP HET  EILAND MAKÉAN ... 
01:p0016a => VII. PIETER BOTH, FORT MAURITIUS NABIJ NGOFAKIAHA OP HET  EILAND MAKÉA ... 
01:p0016b => VIII. PIETER BOTH, FORT MAURITIUS NABIJ NGOFAKIAHA OP HET  EILAND MAKÉ ... 
01:p0017 => IX. PIETER BOTH, FORT MAURITIUS NABIJ NGOFAKIAHA OP HET  EILAND MAKÉAN ... 
01:p0018 => X. PIETER BOTH, ZONDER PLAATS EN DATUM.  
01:p0019 => XI. PIETER BOTH, FORT MAURITIUS NABIJ NGOFAKIAHA OP HET  EILAND MAKÉAN ... 
01:p0020a => XII. PIETER BOTH, FORT MAURITIUS NABIJ NGOFAKIAHA OP HET  EILAND MAKÉA ... 
01:p0020b => XIII. PIETER BOTH, FORT MAURITIUS NABIJ NGOFAKIAHA OP HET  EILAND MAKÉ ... 
01:p0020c => XIV. PIETER BOTH, ZONDER PLAATS EN DATUM  
01:p0021 => XV. PIETER BOTH, BANTAM 1 januari 1614 *).  
01:p0027a => XVI. PIETER BOTH, BANTAM 1 januari 1614.  
01:p0027b => XVII. PIETER BOTH, BANTAM 1 januari 1614.  
01:p0028 => XVIII. PIETER BOTH. BANTAM 10 november 1614.  
01:p0029 => XIX. PIETER BOTH, BANTAM 10 november 1614 *).  
01:p0033 => XX. PIETER BOTH, BANTAM 10 november 1614.  
01:p0037 => XXI. PIETER BOTH, BANTAM 10 november 1614.  
01:p0039 => XXII. PIETER BOTH, BANTAM 10 november 1614.  
01:p0043 => I. GERARD REYNST, BANTAM 11 november 1614.  
01:p0046 => II. GERARD REYNST, BANTAM 26 oktober 1615.  
01:p0056 => 11 a. BIJLAGE VAN II.  
01:p0063 => I. LAURENS REAEL, TERNATE 18 juli 1616.  
01:p0068 => II. LAURENS REAEL, TERNATE 22 september 1616.  
01:p0070 => III. LAURENS REAEL, BANDA 10 mei 1617.  
01:p0074 => IV. LAURENS REAEL, AMBOINA 2 juli 1617.  
01:p0076 => V. LAURENS REAEL, BANTAM 10 november 1617.  
01:p0077 => VI. LAURENS REAEL, BANTAM (17 december 1617?) *).  
01:p0080 => VII. LAURENS REAEL, BANTAM 17 december 1617.  
01:p0081 => VIII. LAURENS REAEL, JAKATRA 6 januari 1618.  
01:p0082 => IX. LAURENS REAEL, KASTEEL NASSAU OP BANDA-NEIRA 7 mei 161 8.  
01:p0085 => X. LAURENS REAEL, WAPEN VAN AMSTERDAM VOOR BANDANEIRA1)  11 juli 1618. ... 
01:p0087 => XI. LAURENS REAEL, KASTEEL MAURITIUS, NABIJ NGOFAKIAHA  OP MAKÉAN 20 a ... 
01:p0097a => I. JAN PIETERSZ. COEN, KASTEEL JAKATRA 5 augustus 1619.  
01:p0097b => II. JAN PIETERSZ. COEN, KASTEEL JAKATRA 7 oktober 1619.  
01:p0097c => III. JAN PIETERSZ. COEN, KASTEEL JAKATRA 15 oktober 1619.  
01:p0097d => IV. JAN PIETERSZ. COEN, PIETER DE CARPENTIER, JACOB DEDEL,  FREDERICK  ... 
01:p0097e => V. JAN PIETERSZ. COEN EN JACOB DEDEL, KASTEEL JAKATRA  29 januari 1620 ... 
01:p0097f => VI. JAN PIETERSZ. COEN, PIETER DE CARPENTIER, WILLEM JANSZ.  EN JACOB  ... 
01:p0097g => VII. JAN PIETERSZ. COEN, PIETER DE CARPENTIER, EN JACOB  DEDEL, KASTEE ... 
