
dstl:ok:

Abraham Douglas               :   7x : 07:p0003 07:p0045
Anthony                       :  62x : 07:p0353 07:p0353
Backer                        :   4x : 07:p0353 07:p0381
Bergman                       :   8x : 07:p0583 07:p0596
Blom                          :  22x : 07:p0534 07:p0537
Castelyn                      :  31x : 07:p0003 07:p0045
Chasteleyn                    :   3x : 07:p0003 07:p0045
Christoffel van Swoll         :  17x : 07:p0003 07:p0045
Cornelis Chasteleyn           :   3x : 07:p0003 07:p0045
Cornelis Hasselaar            :  32x : 07:p0290 07:p0325
Crudop                        :  18x : 07:p0479 07:p0485
De Groot                      :  14x : 07:p0162 07:p0166
De Haan                       :  48x : 07:p0003 07:p0045
De Haeze                      :  17x : 07:p0003 07:p0045
Diderik Durven                :  25x : 07:p0479 07:p0485
Douglas                       :   7x : 07:p0003 07:p0045
Durven                        :  25x : 07:p0479 07:p0485
Ewout van Dishoeck            :  10x : 07:p0640 07:p0651
Faes                          :  33x : 07:p0003 07:p0045
Ferdinand de Groot            :  14x : 07:p0162 07:p0166
Frans Castelyn                :  31x : 07:p0003 07:p0045
Hans Frederik Bergman         :   8x : 07:p0583 07:p0596
Hasselaar                     :  32x : 07:p0290 07:p0325
Hendrik Zwaardecroon          :  48x : 07:p0003 07:p0045
Huysman                       :  62x : 07:p0353 07:p0353
Jacob Faes                    :  33x : 07:p0003 07:p0045
Joan Adriaan Crudop           :  18x : 07:p0479 07:p0485
Joan Cornelis d'Ableing       :  28x : 07:p0003 07:p0045
Joannes Philippus Sipman      :   5x : 07:p0707 07:p0710
Laurens Tolling               :  47x : 07:p0003 07:p0045
Mattheus de Haan              :  48x : 07:p0003 07:p0045
Petrus Vuyst                  :   6x : 07:p0547 07:p0552
Pieter Rooselaar              :   9x : 07:p0003 07:p0045
Rooselaar                     :   9x : 07:p0003 07:p0045
Samuel Timmerman              :  28x : 07:p0003 07:p0045
Sipman                        :   5x : 07:p0707 07:p0710
Six                           :   7x : 07:p0224 07:p0226
Theodorus de Haeze            :  17x : 07:p0003 07:p0045
Timmerman                     :  28x : 07:p0003 07:p0045
Tolling                       :  47x : 07:p0003 07:p0045
Van Dishoeck                  :  10x : 07:p0640 07:p0651
Van Swoll                     :  17x : 07:p0003 07:p0045
Vuyst                         :   6x : 07:p0547 07:p0552
Wijbrant Blom                 :  20x : 07:p0534 07:p0537
Willem Backer Jacobsz         :   4x : 07:p0353 07:p0381
Willem Six                    :   7x : 07:p0224 07:p0226
Wybrand Blom                  :   2x : 07:p0651 07:p0754
Zwaardecroon                  :  48x : 07:p0003 07:p0045
d'Ableing                     :  28x : 07:p0003 07:p0045

meta:ok:

Backer                        :   4x : 07:p0353 07:p0381
Bergman                       :   8x : 07:p0583 07:p0596
Blom                          :  22x : 07:p0534 07:p0537
Castelyn                      :  31x : 07:p0003 07:p0045
Chasteleyn                    :   3x : 07:p0003 07:p0045
Crudop                        :  18x : 07:p0479 07:p0485
De Groot                      :  14x : 07:p0162 07:p0166
De Haan                       :  48x : 07:p0003 07:p0045
De Haeze                      :  17x : 07:p0003 07:p0045
Douglas                       :   7x : 07:p0003 07:p0045
Durven                        :  25x : 07:p0479 07:p0485
Faes                          :  33x : 07:p0003 07:p0045
Hasselaar                     :  31x : 07:p0325 07:p0336
Huysman                       :  31x : 07:p0353 07:p0381
Rooselaar                     :   9x : 07:p0003 07:p0045
Sipman                        :   5x : 07:p0707 07:p0710
Six                           :   7x : 07:p0224 07:p0226
Timmerman                     :  28x : 07:p0003 07:p0045
Tolling                       :  47x : 07:p0003 07:p0045
Van Dishoeck                  :  10x : 07:p0640 07:p0651
Van Swoll                     :  17x : 07:p0003 07:p0045
Vuyst                         :   6x : 07:p0547 07:p0552
Zwaardecroon                  :  48x : 07:p0003 07:p0045
d'Ableing                     :  28x : 07:p0003 07:p0045
