04:p0001 LXXII. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PI ETER OVERTWATER, CORNELIS SPEELMAN, PIETER VAN HOORN  EN SIBRANT ABBEMA, BATAVIA 31 januari 1675.  
04:p0021 LXXIII. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS  PIT, PIETER OVERTWATER, CORNELIS SPEELMAN, PIETER VAN  HOORN EN SIBRANT ABBEMA, BATAVIA 28 februari 1675 *).  
04:p0038 LXXIV. JOAN MAETSUYKER, NICOLAES VERBURCH, RYCKLOFF  VAN GOENS, LAURENS PIT, PIETER OVERTWATER, CORNELIS  SPEELMAN, CONSTANTIN RANST, PIETER VAN HOORN EN SIBRANT  ABBEMA, BATAVIA 29 augustus 1675.  
04:p0042 LXXV. JOAN MAETSUYKER, NICOLAES VERBURCH, RYCKLOFFVAN GOENS, LAURENS PIT, PIETER OVERTWATER, CORNELISSPEELMAN, CONSTANTIN RANST, PIETER VAN HOORN EN SIBRANTABBEMA, BATAVIA 25 september 1675
04:p0043 LXXVI. JOAN MAETSUYKER. NICOLAES VERBURCH, RYCKLOFF  VAN GOENS, LAURENS PIT, PIETER OVERTWATER, CORNELIS  SPEELMAN, CONSTANTIN RANST, PIETER VAN HOORN EN SIBRANT  ABBEMA, BATAVIA 23 november 1675.  
04:p0083 LXXVII. JOAN MAETSUYKER, RYCKLOFF VAN GOENS, LAURENS  PIT, PIETER OVERTWATER, CORNELIS SPEELMAN, CONSTANTIN  RANST, PIETER VAN HOORN EN SIBRAND ABBEMA, BATAVIA, 7  februari 1676.  
04:p0100 LXXVIII. JOAN MAETSUYKER, RYCKLOFF VAK GOENS, LAURENS  PIT, PIETER OVERTWATER, CORNELIS SPEELMAN, CONSTANTIN  RANST, PIETER VAN HOORN EN SIBRANT ABBEMA, BATAVIA, 15  februari 1676.  
04:p0101 LXXIX. JOAN MAETSUYKER, RYCKLOFF VAN GOENS, LAURENS  PIT, PIETER OVERTWATER, CORNELIS SPEELMAN, CONSTANTIN  RANST EN PIETER VAN HOORN, BATAVIA, 30 september 1676 *).  
04:p0125 LXXX. JOAN MAETSUYKER, RIJCKLOFF VAN GOENS, LAURENS  PIT, PIETER OVERTWATER, CORNELIS SPEELMAN, CONSTANTIN  RANST, PIETER VAN HOORN EN ANTHONIO PAVILJOEN, BATAVIA  28 nov. 1676.  
04:p0156 LXXXI. JOAN MAETSUYKER, RIJCKLOFF VAN GOENS, LAURENS  PIT, PIETER OVERTWATER, CONSTANTIN RANST, PIETER VAN  HOORN EN ANTHONIO PAVILJOEN, BATAVIA, 13 februari 1677.  
04:p0171 LXXXII. JOAN MAETSUYKER, RYCKLOFF VAN GOENS, LAURENS  PIT, PIETER OVERTWATER, CONSTANTIN RANST, PIETER VAN  HOORN, ANTHONIO PAVILIOEN, WILHEM VOLGER EN HENDRICK  VAN REEDE, BATAVIA 5 juli 1677.  
04:p0183 LXXXIII. JOAN MAETSUYKER, RYCKLOFF VAN GOENS, LAURENS  PIT, PIETER OVERTWATER, CONSTANTIN RANST1), PIETER VAN  HOORN, ANTHONIO PAVILJOEN EN HENDRICK VAN REEDE2),  BATAVIA 24 november 1677.  
04:p0217 I RIJCKLOFF VAN GOENS, LAURENS PIT, PIETER OVERTWATER,  PIETER VAN HOORN EN ANTHONIO PAVILJOEN, BATAVIA 16 januari  1678 *).  
04:p0218 II RIJCKLOFF VAN GOENS, LAURENS PIT, PIETER OVERTWATER,  PIETER VAN HOORN EN ANTHONIO PAVILJOEN, BATAVIA 15 februari  1678.  
04:p0238 III. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, WILLEM VAN  OUTHOORN, JOANNES CAMPHUYS, JACOB PITS EN CONSTANT! JN  NOBEL, BATAVIA 8 mei 1678 *).  
04:p0239 IV. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, WILLEM VAN  OUTHOORN, JOANNES CAMPHUYS EN JACOB PITS, BATAVIA 3 augustus  1678.  
04:p0241 V. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, WILLEM VAN OUTHOORN EN JOANNES CAMPHUYS, BATAVIA  28 november 1678 1).  
04:p0242 VI. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, WILLEM VAN OUTHOORN EN JOANNES CAMPHUYS, BATAVIA  21 december 1678.  
04:p0262 VII. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, WILLEM VAN OUTHOORN EN JOANNES CAMPHUYS, BATAVIA  13 februari 1679.  
04:p0309 VIII. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, WILLEM VAN OUTHOORN EN JOANNES CAMPHUYS, BATAVIA  23 februari 1679.  
04:p0311 IX. RIJCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, DIRCK BLOM, WILLEM VAN OUTHOORN  EN JOANNES CAMPHUYS, BATAVIA 1 augustus 1679.  
04:p0312 X. RIJCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, DIRCK BLOM, WILLEM VAN OUTHOORN  EN JOANNES CAMPHUYS, BATAVIA 10 october 1679.  
04:p0318 XI. RIJCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, DIRCK BLOM, WILLEM VAN OUTHOORN  EN JOANNES CAMPHUYS, BATAVIA 11 dec. 1679.  
04:p0372 XII. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, DIRCK BLOM EN JOANNES CAMPHUYS,  BATAVIA 14 december 1679.  
04:p0373 XIII. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, DIRCK BLOM, WILLEM VAN OUTHOORN  EN JOANNES CAMPHUYS, BATAVIA 13 maart 1680.  
04:p0405 XIV. [RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT,] ANTHONIO HURDT, DIRCK BLOM, WILLEM VAN OUTHOORN,  [JOANNES CAMPHUYS] EN FREDERIK BENT 1), BATAVIA 13 oct. 1680.  
04:p0416 XV. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, WILLEM VAN OUTHOORN, JOANNES  CAMPHUYS EN FREDERIK BENT, BATAVIA 29 nov. 1680.  
04:p0423 XVI. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, WILLEM VAN OUTHOORN, JOANNES  CAMPHUYS EN FREDERIK BENT, BATAVIA 31 dec. 1680 *)  
04:p0426 XVII. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, WILLEM VAN OUTHOORN, JOANNES  CAMPHUYS EN FREDERIK BENT, BATAVIA 13 febr. 1681.  
04:p0429 XVIII. RIJCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, WILLEM VAN OUTHOORN, JOANNES  CAMPHUYS EN FREDERIK BENT, BATAVIA 29 april 1681.  
04:p0477 XIX. RIJCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, WILLEM VAN OUTHOORN, JOANNES  CAMPHUYS EN FREDERIK BENT, BATAVIA 25 juli 1681.  
04:p0480 XX. RYCKLOFF VAN GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, WILLEM VAN OUTHOORN EN FREDERIK  BENT, BATAVIA 30 aug. 1681.  
04:p0481 XXI. RYCKLOFF VAX GOENS, CORNELIS SPEELMAN, BALTHASAR  BORT, ANTHONIO HURDT, WILLEM VAN OUTHOORN, JOANNES  CAMPHUYS EN FREDERIK BENT, BATAVIA 4 november 1681.  
04:p0485 I. CORNELIS SPEELMAN, BALTHASAR BORT, ANTHONIO HURDT,  WILLEM VAN OUTHOORN, JOANNES CAMPHUYS EN FREDERIK BENT,  BATAVIA 29 nov. 1681.  
04:p0487 II. CORNELIS SPEELMAN, BALTHASAR BORT, ANTHONIO HURDT,  WILLEM VAN OUTHOORN, JOANNES CAMPHUYS EN FREDERIK BENT,  BATAVIA 28 dec. 1681.  
04:p0491 III. CORNELIS SPEELMAN, BALTHASAR BORT, ANTHONIO HURDT,  WILLEM VAN OUTHOORN, JOANNES CAMPHUYS EN FREDERIK BENT,  BATAVIA 31 december 1681.  
04:p0492 IV. CORNELIS SPEELMAN, BALTHASAR BORT, ANTHONIO HURDT,  WILLEM VAN OUTHOORN, JOANNES CAMPHUYS EN FREDERIK BENT,  BATAVIA 8 januari 1682.  
04:p0493 V. CORNELIS SPEELMAN, BALTHASAR BORT, ANTHONIO HURDT,  WILLEM VAN OUTHOORN EN JOAN VAN HOORN, BATAVIA 5 october  1682.  
04:p0495 VI. GOUVERNEUR-GENERAAL EN RADEN, BATAVIA 12 nov. 1682. *)  
